"","coral_id","Intercept","umol.L.sec","Temp.C","surf.area.cm2","chamber_vol","date","temp","wound","genotype","coral_num","umol.sec","blank_id","blank.umol.sec","umol.sec.corr","umol.cm2.hr","Rate.ln"
"1","20230613_24_A_103_O2",78.6366557382797,-0.00253076518512387,29.6162058823529,19.7046255265744,0.6468398571,20230613,"A",0,"66",103,-0.00163699979069918,"20230613_24_A_blank2_O2",-0.000134275682794424,-0.00150272410790476,0.27454501894295,-0.982043272454007
"2","20230613_24_A_104_O2",79.5630202165689,-0.00413785167126072,29.6222352941176,34.5805950035612,0.6459276618,20230613,"A",2,"66",104,-0.00267275285489266,"20230613_24_A_blank2_O2",-0.000134275682794424,-0.00253847717209824,0.264267223239292,-1.00986755090858
"3","20230613_24_A_106_O2",81.284897827749,-0.00264620170247856,29.6290294117647,21.0663197903596,0.6465784801,20230613,"A",1,"66",106,-0.00171097707482662,"20230613_24_A_blank2_O2",-0.000134275682794424,-0.0015767013920322,0.2694407503447,-0.995764902345371
"4","20230613_24_A_15_O2",82.8254670947031,-0.00173596913632396,29.4828059701493,16.6948489197158,0.647209354,20230613,"A",0,"68",15,-0.00112353546328417,"20230613_24_A_blank_O2",1.93617045173765e-05,-0.00114289716780154,0.246449058860701,-1.06001948743516
"5","20230613_24_A_19_O2",82.1113041661886,-0.00152186900286401,29.5549117647059,13.5824048882068,0.6473631361,20230613,"A",0,"70",19,-0.000985201890427425,"20230613_24_A_blank2_O2",-0.000134275682794424,-0.000850926207633001,0.225536962908432,-1.12227926645828
"6","20230613_24_A_25_O2",77.3779966109795,-0.00161858038897865,29.4876268656716,18.0241218915062,0.6467768747,20230613,"A",2,"70",25,-0.00104686036543432,"20230613_24_A_blank_O2",1.93617045173765e-05,-0.0010662220699517,0.21295902651629,-1.16168300270964
"7","20230613_24_A_26_O2",82.9019950710975,-0.00097689939059281,29.6118656716418,12.5476253187034,0.6473426668,20230613,"A",1,"70",26,-0.000632388656701644,"20230613_24_A_blank_O2",1.93617045173765e-05,-0.000651750361219021,0.186991661034945,-1.24830211927201
"8","20230613_24_A_41_O2",77.4744470508048,-0.00371833091958359,29.4345294117647,29.2743102137316,0.6465643091,20230613,"A",0,"69",41,-0.00240414006202573,"20230613_24_A_blank2_O2",-0.000134275682794424,-0.00226986437923131,0.279135928586277,-0.969860487576049
"9","20230613_24_A_49_O2",75.6925982096995,-0.00243521838688025,29.5067164179104,24.4192217374974,0.6468781715,20230613,"A",2,"69",49,-0.00157528961730828,"20230613_24_A_blank_O2",1.93617045173765e-05,-0.00159465132182565,0.235091225276727,-1.09335246996898
"10","20230613_24_A_5_O2",82.6994848371499,-0.00838406663892935,29.4988059701493,54.2630210187899,0.6445373249,20230613,"A",0,"68",5,-0.00540384388323886,"20230613_24_A_blank_O2",1.93617045173765e-05,-0.00542320558775623,0.359794566343107,-0.77697548415849
